id	document	label
1000001	i grew up (b. 1965) watching and loving the thunderbirds. all my mates at school watched. we played thunderbirds before school, during lunch and after school. we all wanted to be virgil or scott. no o	0
1000002	when i put this movie in my dvd player, and sat down with a coke and some chips, i had some expectations. i was hoping that this movie would contain some of the strong-points of the first movie: awsom	0
1000003	why do people who do not know what a particular time in the past was like feel the need to try to define that time for others? replace woodstock with the civil war and the apollo moon-landing with the	0
1000004	even though i have great interest in biblical movies, i was bored to death every minute of the movie. everything is bad. the movie is too long, the acting is most of the time a joke and the script is 	0
1000005	im a die hard dads army fan and nothing will ever change that. i got all the tapes, dvd's and audiobooks and every time i watch/listen to them its brand new. the film. the film is a re run of certain 	1
1000006	a terrible movie as everyone has said. what made me laugh was the cameo appearance by scott mcnealy, giving an award to one of the murdered programmers in front of a wall of sun logos. mcnealy is the 	0
1000007	finally watched this shocking movie last night, and what a disturbing mindf**ker it is, and unbelievably bloody and some unforgettable scenes, and a total assault on the senses. looks like a movie fro	1
1000008	i caught this film on azn on cable. it sounded like it would be a good film, a japanese green card. i can't say i've ever disliked an asian film, quite the contrary. some of the most incredible horror	0
1000009	it may be the remake of 1987 autumn's tale after eleven years, as the director mabel cheung claimed. mabel employs rock music as the medium in this movie to express her personal attitude to life, in w	1
1000010	my super ex girlfriend turned out to be a pleasant surprise for me, i was really expecting a horrible movie that would probably be stupid and predictable, and you know what? it was! but this movie did	1
1000011	i can't believe people are looking for a plot in this film. this is laural and hardy. lighten up already. these two were a riot. their comic genius is as funny today as it was 70 years ago. not a filt	1
1000012	if you haven't seen the gong show tv series then you won't like this movie much at all, not that knowing the series makes this a great movie. i give it a 5 out of 10 because a few things make it kind 	0
1000013	i have always been a huge fan of homicide: life on the street so when i heard there was a reunion movie coming up, i couldn't wait.let me just say, i was not disappointed at all. it was one of the mos	1
1000014	greg davis and bryan daly take some crazed statements by a terrorists, add some commentary by a bunch of uber-right reactionaries, ascribe the most extreme positions of the most fundamentalist moslems	0
1000015	a half-hearted attempt to bring elvis presley into the modern day, but despite a sexy little shower scene and a pseudo-playboy magazine subplot, presley is surrounded by the same old coy, winking clic	0
1000016	if you want a fun romp with loads of subtle humor, then you will enjoy this flick.i don't understand why anyone wouldn't enjoy this one. take it for what it is: a vehicle for dennis hopper to mess wit	1
1000017	i really wanted to be able to give this film a 10. i've long thought it was my favorite of the four modern live-action batman films to date (and maybe it still will be--i have yet to watch the schumac	1
1000018	the main problem with power is that it features way too may pointless characters and subplots that add absolutely nothing to the movie whatsoever. it gets boring after awhile, sitting around waiting t	0
1000019	the folks at disney have a lot to explain. first and foremost, why anyone thought this lesser-sitcom material would ever make even a half-decent motion picture. in the kooky 60's teleplay, the unique 	0
1000020	a friend told me of john fante last summer after we got into a conversation about charles bukowski. i did not know that fante was a favorite writer of bukowski's - an author with similar edge and humo	0
1000021	ever since i heard of the ralph bakshi version of the lord of the rings i wondered: what the hell is 'rotoscope' animation?!!! well... i finally found out... i saw this movie about three years ago not	1
1000022	i sat through this film and i have to say it only just managed to keep my attention. the film would have been a bit more bearable if i did not have to watch the awful cgi, for future reference to the 	0
1000023	i don't care if some people voted this movie to be bad. if you want the truth this is a very good movie! it has every thing a movie should have. you really should get this one.	1
1000024	i never really understood the controversy and hype this movie caused. especially in french and the neighboring countries (in belgium, where i am located, for example), baise-moi was announced as the m	0
1000025	sweet, entertaining tale of a young 17 1/2 year old boy, controlled by by an overbearing religious mother and withdrawn father, and how he finds himself through his work with a retired, eccentric and 	1
1000026	first, i should mention that i really enjoyed ishii katsuhito's previous film samehada otoko to momojiri onna (shark skin man and peach hip girl). although it owed a debt to tarentino's pulp fiction, 	0
1000027	the argentinian music poet, atahualpa yupanqui, once said that some folk music repeats similarly at any country of the world. they look the same but everybody consider them as their own folk music...t	1
1000028	i saw this film by chance on the small box. it has a fantastic and chilling scene about poisonous gas. a lot about fanatical patriotism. a bit of eroticism. i can't believe it's still waiting for 5 vo	1
1000029	the small california town of diablo is plagued with mysterious deaths after sheriff robert lopez unearths an ancient box.legend has it that the box holds the sixteenth-century mexican demon named azar	0
1000030	it's good to see that vintage film buff have correctly categorized their excellent dvd release as a musical, for that's what this film is, pure and simple. like its unofficial remake, murder at the wi	1
1000031	i saw this film via one of the actors' agents, and it surely conforms with a great deal that comes out of sth. australia in terms of the overall *tone,* which is rightly dark and moody.i thought the l	1
1000032	during the civil war, there were many cases of divided loyalties; obviously, many occurred in the border states, where north met south by happenstance of geography. from the border, young father owen 	0
1000033	how could they take such a beautifully animated gem like don bluth's all dogs go to heaven and bastardize it with a charmless, cheesy, uninspired sequel. the haunting music and delightful characters a	0
1000034	first off let me say that this is probably in my opinion one of the 10 most underrated movies since this came out in 72. i absolutely loved this movie, it's very urban, gritty, no real hollywood glam 	1
1000035	in a way this is the disaster fellini has been working towards all his life. the line between absurd masterpiece and free association bullshit is very small, and what category a film will ultimately f	0
1000036	three writers made a valiant attempt to adapt jane stanton hitchcock's novel for the tube, yet this television movie has ultimately been injected with too much melodrama and just doesn't know when to 	0
1000037	well, i only caught the tail end of this film on hbo, just the final 10 minutes or so, but i must say that it contains probably the most laughable depiction of distance running ever put on film! i'm a	0
1000038	a feminist tract in which if you the viewer believe that: i) wild animals are seldom tamed by singing but instead attack, kill and eat (the line that grizzlies never attack unless provoked was a hoot 	0
